"temperature","R","G","B"
1310,0,0,0
1315,0,0,0
1320,0,0,0
1325,0,0,0
1330,0,0,0
1335,0,0,0
1340,0,0,0
1345,0,0,0
1350,0,0,0
1355,0,0,0
1360,0,0,0
1365,0,0,0
1370,0,0,0
1375,0,0,0
1380,0,0,0
1385,0,0,0
1390,0,0,0
1395,0,0,0
1400,0,0,0
1405,0,0,0
1410,0,0,0
1415,0,0,0
1420,0,0,0
1425,0,0,0
1430,0,0,0
1435,0,0,0
1440,0,0,0
1445,0,0,0
1450,0,0,0
1455,0,0,0
1460,0,0,0
1465,0,0,0
1470,0,0,0
1475,0,0,0
1480,0,0,0
1485,0,0,0
1490,0,0,0
1495,0,0,0
1500,0,0,0
1505,0,0,0
1510,0,0,0
1515,0,0,0
1520,0,0,0
1525,0,0,0
1530,0,0,0
1535,0,0,0
1540,0,0,0
1545,0,0,0
1550,0,0,0
1555,0,0,0
1560,0,0,0
1565,0,0,0
1570,0,0,0
1575,0,0,0
1580,0,0,0
1585,0,0,0
1590,0,0,0
1595,0,0,0
1600,0,0,0
1605,0,0,0
1610,0,0,0
1615,0,0,0
1620,0,0,0
1625,0,0,0
1630,0,0,0
1635,0,0,0
1640,0,0,0
1645,0,0,0
1650,0,0,0
1655,0,0,0
1660,0,0,0
1665,0,0,0
1670,0,0,0
1675,0,0,0
1680,0,0,0
1685,0,0,0
1690,0,0,0
1695,0,0,0
1700,0,0,0
1705,0,0,0
1710,0,0,0
1715,0,0,0
1720,0,0,0
1725,0,0,0
1730,0,0,0
1735,0,0,0
1740,0,0,0
1745,0,0,0
1750,0,0,0
1755,0,0,0
1760,0,0,0
1765,0,0,0
1770,0,0,0
1775,0,0,0
1780,0,0,0
1785,0,0,0
1790,0,0,0
1795,0,0,0
1800,0,0,0
1805,0,0,0
1810,0,0,0
1815,0,0,0
1820,0,0,0
1825,0,0,0
1830,0,0,0
1835,0,0,0
1840,0,0,0
1845,0,0,0
1850,0,0,0
1855,0,0,0
1860,0,0,0
1865,0,0,0
1870,0,0,0
1875,0,0,0
1880,0,0,0
1885,0,0,0
1890,0,0,0
1895,0,0,0
1900,0,0,0
1905,0,0,0
1910,0,0,0
1915,0,0,0
1920,0,0,0
1925,0,0,0
1930,0,0,0
1935,59,66,76
1940,0,0,0
1945,58,65,75
1950,0,0,0
1955,68,77,89
1960,0,0,0
1965,0,0,0
1970,0,0,0
1975,57,63,75
1980,0,0,0
1985,0,0,0
1990,0,0,0
1995,0,0,0
2000,0,0,0
2005,64,72,85
2010,0,0,0
2015,65,74,86
2020,0,0,0
2025,62,70,82
2030,64,71,83
2035,67,75,87
2040,70,80,92
2045,71,81,93
2050,72,84,95
2055,71,84,96
2060,71,84,97
2065,70,81,95
2070,0,0,0
2075,64,70,83
2080,60,65,77
2085,68,75,87
2090,74,83,95
2095,73,83,95
2100,0,0,0
2105,0,0,0
2110,0,0,0
2115,67,75,86
2120,67,75,86
2125,68,77,89
2130,70,80,93
2135,69,78,90
2140,67,75,86
2145,70,80,92
2150,75,86,99
2155,72,83,94
2160,0,0,0
2165,72,83,94
2170,75,86,99
2175,77,89,103
2180,0,0,0
2185,79,92,108
2190,0,0,0
2195,75,86,100
2200,0,0,0
2205,74,86,98
2210,77,88,101
2215,77,88,101
2220,0,0,0
2225,75,87,100
2230,0,0,0
2235,0,0,0
2240,0,0,0
2245,0,0,0
2250,0,0,0
2255,0,0,0
2260,0,0,0
2265,0,0,0
2270,0,0,0
2275,0,0,0
2280,0,0,0
2285,0,0,0
2290,0,0,0
